2.29,-67.36,2.291,-53.1,2.29,-57.67
2.3,-67.36,2.301,-53.1,2.3,-54.92
2.311,-67.36,2.31,-53.1,2.31,-52.37
2.321,-67.36,2.32,-53.1,2.32,-49.81
2.33,-67.36,2.331,-53.1,2.33,-47.25
2.34,-67.36,2.341,-53.1,2.339,-44.69
2.35,-67.36,2.35,-53.1,2.35,-42.13
2.361,-67.36,2.36,-53.1,2.36,-39.75
2.37,-67.36,2.371,-53.1,2.37,-37.38
2.38,-67.36,2.381,-53.1,2.38,-35
2.39,-67.36,2.391,-53.1,2.39,-33.17
2.401,-67.36,2.4,-53.1,2.4,-31.16
2.41,-67.36,2.411,-53.1,2.41,-29.33
2.42,-67.36,2.421,-53.1,2.42,-27.87
2.43,-67.36,2.431,-53.1,2.43,-26.41
2.441,-67.36,2.44,-53.1,2.44,-25.31
2.45,-67.36,2.451,-53.1,2.45,-24.58
2.46,-67.36,2.461,-52.91,2.46,-23.85
2.47,-67.36,2.471,-52.91,2.47,-23.12
2.481,-67.36,2.48,-53.1,2.48,-22.57
2.491,-67.36,2.49,-53.1,2.49,-22.39
2.5,-67.36,2.501,-53.1,2.5,-21.84
2.51,-67.36,2.511,-53.1,2.51,-21.29
2.52,-67.36,2.52,-53.1,2.52,-21.29
2.531,-67.36,2.53,-53.1,2.53,-21.11
2.54,-67.36,2.541,-53.1,2.54,-20.92
2.55,-67.36,2.551,-53.1,2.55,-20.92
2.56,-67.36,2.561,-53.1,2.56,-20.74
2.571,-67.36,2.57,-53.1,2.57,-21.11
2.58,-67.36,2.581,-53.1,2.58,-21.66
2.59,-67.36,2.591,-53.1,2.59,-22.75
2.6,-67.36,2.601,-53.1,2.6,-24.4
2.611,-67.36,2.61,-53.1,2.61,-26.59
2.62,-67.36,2.621,-53.1,2.62,-28.97
2.63,-67.36,2.631,-53.1,2.63,-31.53
2.64,-67.36,2.641,-53.1,2.641,-35.18
2.651,-67.36,2.65,-53.1,2.65,-39.02
2.661,-67.36,2.66,-53.1,2.66,-42.68
2.67,-67.36,2.671,-53.1,2.67,-45.42
2.68,-67.36,2.681,-53.1,2.68,-49.08
2.69,-67.17,2.69,-53.1,2.69,-52.37
2.701,-67.17,2.7,-53.1,2.7,-55.29
2.71,-67.36,2.711,-53.1,2.71,-58.58
2.72,-67.36,2.721,-53.1,2.72,-61.69
2.73,-67.54,2.731,-53.1,2.73,-64.8
2.741,-67.72,2.74,-53.28,2.74,-66.81
2.75,-67.54,2.751,-53.28,2.75,-67.72
2.76,-67.36,2.761,-53.1,2.76,-67.72
2.77,-67.36,2.771,-53.1,2.77,-67.72
2.781,-67.36,2.78,-53.1,2.78,-67.72
2.791,-67.36,2.79,-53.1,2.79,-67.72
2.8,-67.36,2.801,-53.1,2.8,-67.72
2.81,-67.36,2.811,-53.1,2.81,-67.72
2.821,-67.36,2.82,-53.1,2.82,-67.72
2.831,-67.36,2.83,-53.1,2.83,-67.9
2.84,-67.36,2.841,-53.1,2.84,-67.9
2.85,-67.36,2.851,-53.1,2.85,-67.36
2.86,-67.36,2.861,-52.91,2.86,-65.71
2.871,-67.36,2.87,-52.91,2.87,-63.52
2.88,-67.36,2.881,-53.1,2.88,-60.96
2.89,-67.36,2.891,-53.1,2.89,-57.85
2.9,-67.36,2.901,-53.1,2.9,-55.11
2.911,-67.36,2.91,-53.1,2.91,-52.91
2.92,-67.36,2.921,-53.1,2.92,-50.72
2.93,-67.36,2.931,-53.1,2.93,-48.34
2.94,-67.36,2.941,-53.1,2.941,-45.78
2.951,-67.36,2.95,-53.1,2.95,-43.04
2.961,-67.36,2.96,-53.1,2.96,-40.67
2.97,-67.36,2.971,-53.1,2.97,-38.29
2.98,-67.36,2.981,-53.1,2.98,-35.91
2.99,-67.36,2.99,-53.1,2.99,-33.9
3.001,-67.36,3,-53.1,3,-32.07
3.01,-67.36,3.011,-53.1,3.01,-30.06
3.02,-67.36,3.021,-53.1,3.02,-28.42
3.03,-67.36,3.031,-53.1,3.03,-27.32
3.041,-67.36,3.04,-53.1,3.04,-26.04
3.05,-67.36,3.051,-53.1,3.05,-25.13
3.06,-67.36,3.061,-53.1,3.06,-24.4
3.07,-67.36,3.071,-53.1,3.071,-23.67
3.081,-67.36,3.08,-53.1,3.08,-22.93
3.09,-67.36,3.091,-53.1,3.09,-22.39
3.1,-67.36,3.101,-53.1,3.1,-22.2
3.11,-67.36,3.111,-53.1,3.111,-22.02
3.121,-67.36,3.12,-53.1,3.12,-21.84
3.131,-67.36,3.13,-53.1,3.13,-21.47
3.14,-67.36,3.141,-53.1,3.14,-21.29
3.15,-67.36,3.151,-53.1,3.15,-21.29
3.16,-67.36,3.16,-53.1,3.16,-21.29
3.171,-67.36,3.17,-53.1,3.17,-21.11
3.18,-67.36,3.181,-53.1,3.18,-21.47
3.19,-67.36,3.191,-53.1,3.19,-22.2
3.2,-67.36,3.201,-53.1,3.2,-23.48
3.211,-67.36,3.21,-52.91,3.21,-24.95
3.22,-67.36,3.221,-52.91,3.22,-27.14
3.23,-67.36,3.231,-53.1,3.23,-29.7
3.24,-67.36,3.241,-53.1,3.241,-32.44
3.251,-67.36,3.25,-53.1,3.25,-36.1
3.26,-67.36,3.261,-53.1,3.26,-39.75
3.27,-67.36,3.271,-53.1,3.27,-43.59
3.28,-67.36,3.281,-53.1,3.281,-46.7
3.291,-67.36,3.29,-53.1,3.29,-50.17
3.301,-67.36,3.3,-53.1,3.3,-53.28
3.31,-67.36,3.311,-53.1,3.31,-56.39
3.32,-67.36,3.321,-53.1,3.32,-59.68
3.33,-67.36,3.331,-53.1,3.33,-62.24
3.341,-67.36,3.34,-52.91,3.34,-64.43
